term,index
00,0
001,1
01,2
01166,3
01538d56f084bc640d9468734d68fa71,4
01bcfe71a631f1d7315947aa1255bc03,5
01f0430efb248790c02326f1172a9108,6
02,7
0271313z,8
03,9
0300037z,10
04,11
040c,12
046291,13
04a64c5f460c1d33e6e64739cfb5ed56,14
04d08de617d4a63283b60c86cb666a05,15
05,16
0513cef31d5c89ed,17
0539f8bee0e531,18
05662919,19
05t00,20
05t01,21
05t02,22
05t07,23
06,24
06t01,25
06t08,26
07,27
07d6a2abf95de962471c3b6fe81f7d0c,28
07t08,29
08,30
083aa72cf9c34bf9a0725bc094fb8756,31
085599987364455c8839616e4b58f16a,32
0870f4e300111d,33
08t10,34
09,35
0971b21677c404fe7dcfd430656637aa,36
0_242,37
0_282,38
0a14010d17326764828311765d0001,39
0a14010d17326764828311766d0001,40
0a14010d17326764839551767d0001,41
0a14010d17326764851841772d0001,42
0a14010d17326764851881773d0001,43
0a14010d17326764852211774d0001,44
0a14010d17326764937171789d0001,45
0a14010d17326764937171791d0001,46
0a14010d17326764937171792d0001,47
0a14010d17326764937281793d0001,48
0a14010d17326764937281794d0001,49
0a14010d17326764949511800d0001,50
0a14010d17326765229561848d0001,51
0a14010d17326765229561849d0001,52
0a14010d17326767028122174d0001,53
0a14010d17326770375462753d0001,54
0a14010d17326770582652792d0001,55
0a14010d17326770582662794d0001,56
0a14010d17326770582722796d0001,57
0a14010d17326772145863101d0001,58
0a14010d17326772145873102d0001,59
0a14010d17326772157083107d0001,60
0a14010d17326772169263108d0001,61
0a14010d17326772169413110d0001,62
0a14010d17326772169503111d0001,63
0a14010d17326772169733112d0001,64
0a14010d17326772201163117d0001,65
0a14010d17326772201163118d0001,66
0a14010d17326772201173119d0001,67
0a14010d17326772201183120d0001,68
0a14010d17326772201373122d0001,69
0a14010d17326772211523128d0001,70
0a14010d17326772233033134d0001,71
0a14010d17326772233033135d0001,72
0a14010d17326772233043136d0001,73
0a14010d17326772233053138d0001,74
0a14010d17326772233053139d0001,75
0a14010d17326772244103140d0001,76
0a14010d17326772349493161d0001,77
0a14010d17326772349503163d0001,78
0a14010d17326772358313164d0001,79
0a14010d17326772366833168d0001,80
0a14010d17326772379693173d0001,81
0a14010d17326772379703174d0001,82
0a14010d17326772384473175d0001,83
0a14010d17326772384493176d0001,84
0a14010d17326772391693179d0001,85
0a14010d17326772391703180d0001,86
0a14010d17326772412543183d0001,87
0a14010d17326772412553184d0001,88
0a14010d17326772412553185d0001,89
0a14010d17326772412563186d0001,90
0a14010d17326772412733187d0001,91
0a14010d17326772412733188d0001,92
0a14010d17326772423133193d0001,93
0a14010d17326772423273195d0001,94
0a14010d17326772523493213d0001,95
0a14010d17326772523493214d0001,96
0a14010d17326772652673242d0001,97
0a14010d17326772652673243d0001,98
0a14010d17326772652683244d0001,99
0a14010d17326772701603254d0001,100
0a14010d17326772710153255d0001,101
0a14010d17326772729603260d0001,102
0a14010d17326772860113285d0001,103
0a14010d17326772860113286d0001,104
0a14010d17326772872023289d0001,105
0a14010d17326772872023290d0001,106
0a14010d17326772877383295d0001,107
0a14010d17326772877393296d0001,108
0a14010d17326772881453297d0001,109
0a14010d17326772881463298d0001,110
0a14010d17326772887023301d0001,111
0a14010d17326772887163302d0001,112
0a14010d17326772891433304d0001,113
0a14010d17326772891793305d0001,114
0a14010d17326772891803306d0001,115
0a14010d17326772896923307d0001,116
0a14010d17326772897123308d0001,117
0a14010d17326772901513313d0001,118
0a14010d17326772901743315d0001,119
0a14010d17326772902363316d0001,120
0a14010d17326772905143318d0001,121
0a14010d17326772915303320d0001,122
0a14010d17326772915313322d0001,123
0a14010d17326772915313323d0001,124
0a14010d17326772915313324d0001,125
0a14010d17326772925233331d0001,126
0a14010d17326772925243332d0001,127
0a14010d17326772933093333d0001,128
0a14010d17326772933093334d0001,129
0a14010d17326772982683343d0001,130
0a14010d17326772982683344d0001,131
0a14010d17326773404423417d0001,132
0a14010d17326773404423418d0001,133
0a14010d17326773449003428d0001,134
0b712d579f1e,135
0c,136
0e,137
0f,138
0f3a3d343560bb04e159a5faa3be2c0c,139
0ff7723a1684f774b5931edf7f2905dd,140
0tckdrvia,141
0x01000000,142
0x01010000,143
0x01020000,144
0x01050000,145
0x02000000,146
0x02010000,147
0x02020000,148
0x02030000,149
